ID,conflict_name,ccode,cname,region,secession,battledeadbest,lnbdb,battledeadlow,lnbdl,battledeadhigh,lnbdh,pop,lnpop,dper100k,begin,end,duration,lnduration,rate,lnrate,cw,intervention,democ,lngdp,gdpsq,milper,milperpop,lnmilperpop,milex,milqual,lnmilqual,milq2,mountain,lnmountain,ethfrac,lnethfrac,relfrac,lnrelfrac,relpolar,ethnicpolar
1502,"Argentina (ERP, Montoneros 1973-7)",160,"ARG",2,0,2984,8.00102,2984,8.00102,2984,8.00102,24757000,17.02462,12.05316,1973,1977,5,1.609438,596.8,6.391582,1,0,0,8.667336,16.88278,140,5.65e-06,-12.08298,426829,3048.779,8.022496,-15.47782,28.4,3.380995,.3073192,-1.179868,.1512,-1.889152,0,1
3172,"Congo-Brazaville 1998-2002",484,"CON",1,0,2999,8.006034,2999,8.006034,3047,8.021913,2707600,14.81157,110.7623,1998,2002,5,1.609438,599.8,6.396596,0,1,0,7.495716,12.8765,10,3.69e-06,-12.50899,74000,7400,8.909235,16.75642,0,0,.6572124,-.4197481,.5192,-.6554662,1,1
2990,"Georgia (Abkhazia)",372,"GRG",3,1,3000,8.006368,3000,8.006368,3000,8.006368,5460000,15.51296,54.94505,1992,1993,2,.6931472,1500,7.313221,0,1,0,8.250193,15.76717,25,4.58e-06,-12.29408,850000,34000,10.43412,20.68034,60.8,4.123903,.49551,-.7021676,.5454,-.6062357,1,1
2710,"India (Assam)",750,"IND",3,1,3172,8.062118,2972,7.99699,3572,8.180881,815590016,20.51942,.3889209,1989,2002,14,2.639057,226.5714,5.42306,0,0,1,7.093405,6.7346,1360,1.67e-06,-13.30418,9590000,7051.471,8.860991,16.58945,12.9,2.631889,.8864782,-.1204988,.3384,-1.083527,1,1
2190,"Great Britain (N. Ireland)",200,"UKG",5,1,3271,8.092851,3271,8.092851,3271,8.092851,55632000,17.83427,5.87971,1971,1993,23,3.135494,142.2174,4.957357,1,0,1,9.052165,17.80817,390,7.01e-06,-11.86812,5866538,15042.41,9.618629,18.78426,.8,.5877867,.3254545,-1.122532,.6138,-.4880862,1,1
1930,"Dominican Republic 1965",42,"DOM",2,0,3280,8.095599,2526,7.834392,4000,8.294049,3727000,15.13111,88.00644,1965,1965,1,0,3280,8.095599,1,1,0,7.315884,11.59212,19,5.10e-06,-12.18668,37000,1947.368,7.574234,14.00869,16.4,2.85647,.0369888,-3.29714,.095,-2.353878,0,1
1651,"Laos 1959-61",812,"LAO",4,0,3500,8.160519,3500,8.160519,5000,8.517193,2220000,14.61302,157.6577,1959,1961,3,1.098612,1166.667,7.061906,1,1,1,6.111467,13.16958,25,.0000113,-11.39414,63,2.52,.9242589,16.04334,35.8,3.605498,.5996567,-.511398,.48,-.7339692,1,1
2183,"Uganda 1978-9",500,"UGA",1,0,3847,8.255049,3847,8.255049,3847,8.255049,11862000,16.28885,32.43129,1978,1979,2,.6931472,1923.5,7.561902,1,1,0,6.400258,12.70177,23,1.94e-06,-13.15336,135864,5907.13,8.683915,15.916,9.399999,2.341806,.8994653,-.1059548,.7242,-.3226877,1,0
2510,"South Africa 1981-8",560,"SAF",1,0,3850,8.255829,3850,8.255829,3850,8.255829,29529000,17.20088,13.03803,1981,1988,8,2.079442,481.25,6.176387,1,1,0,8.159375,15.49951,70,2.37e-06,-12.95239,2858612,40837.31,10.61735,21.07952,7.699999,2.163323,.8772271,-.1309894,.4584,-.7800131,1,1
2810,"Rwanda 1998-2002",517,"RWA",1,0,3958,8.283494,10859,9.292749,3558,8.176954,7895180,15.88176,50.13185,1998,2002,5,1.609438,791.6,6.674056,0,0,0,6.343757,12.81399,40,5.07e-06,-12.19288,103000,2575,7.853605,12.32148,73.39999,4.309456,.1292108,-2.04631,.5068,-.6796389,1,1
